,filename,label
0,My Drive/set_a/artifact__201105190800.wav,artifact
1,My Drive/set_a/artifact__201106030612.wav,artifact
2,My Drive/set_a/artifact__201105040918.wav,artifact
3,My Drive/set_a/artifact__201105051017.wav,artifact
4,My Drive/set_a/artifact__201106021541.wav,artifact
5,My Drive/set_a/artifact__201105061143.wav,artifact
6,My Drive/set_a/artifact__201106010602.wav,artifact
7,My Drive/set_a/artifact__201106010559.wav,artifact
8,My Drive/set_a/artifact__201105280851.wav,artifact
9,My Drive/set_a/artifact__201105041959.wav,artifact
10,My Drive/set_a/artifact__201105060108.wav,artifact
11,My Drive/set_a/artifact__201012172012.wav,artifact
12,My Drive/set_a/artifact__201106211430.wav,artifact
13,My Drive/set_a/extrahls__201101091153.wav,extrahls
14,My Drive/set_a/artifact__201106040722.wav,artifact
15,My Drive/set_a/extrahls__201101152255.wav,extrahls
16,My Drive/set_a/artifact__201106101314.wav,artifact
17,My Drive/set_a/artifact__201106141701.wav,artifact
18,My Drive/set_a/artifact__201106121445.wav,artifact
19,My Drive/set_a/artifact__201106220340.wav,artifact
20,My Drive/set_a/artifact__201106101955.wav,artifact
21,My Drive/set_a/extrahls__201101070953.wav,extrahls
22,My Drive/set_a/artifact__201106111119.wav,artifact
23,My Drive/set_a/artifact__201106050353.wav,artifact
24,My Drive/set_a/artifact__201106031558.wav,artifact
25,My Drive/set_a/artifact__201106171003.wav,artifact
26,My Drive/set_a/artifact__201106161219.wav,artifact
27,My Drive/set_a/artifact__201106040933.wav,artifact
28,My Drive/set_a/artifact__201106161019.wav,artifact
29,My Drive/set_a/artifact__201106221254.wav,artifact
30,My Drive/set_a/artifact__201106110909.wav,artifact
31,My Drive/set_a/artifact__201106070949.wav,artifact
32,My Drive/set_a/artifact__201106211041.wav,artifact
33,My Drive/set_a/artifact__201106070537.wav,artifact
34,My Drive/set_a/artifact__201106131834.wav,artifact
35,My Drive/set_a/artifact__201106121242.wav,artifact
36,My Drive/set_a/artifact__201106041452.wav,artifact
37,My Drive/set_a/artifact__201106212112.wav,artifact
38,My Drive/set_a/artifact__201106190520.wav,artifact
39,My Drive/set_a/artifact__201106161016.wav,artifact
40,My Drive/set_a/artifact__201106061233.wav,artifact
41,My Drive/set_a/artifact__201106040947.wav,artifact
42,My Drive/set_a/artifact__201106131835.wav,artifact
43,My Drive/set_a/extrahls__201103182227.wav,extrahls
44,My Drive/set_a/extrahls__201101241433.wav,extrahls
45,My Drive/set_a/murmur__201101051104.wav,murmur
46,My Drive/set_a/extrahls__201102070251.wav,extrahls
47,My Drive/set_a/extrahls__201103200218.wav,extrahls
48,My Drive/set_a/extrahls__201103170134.wav,extrahls
49,My Drive/set_a/murmur__201108222226.wav,murmur
50,My Drive/set_a/murmur__201102052338.wav,murmur
51,My Drive/set_a/murmur__201104291843.wav,murmur
52,My Drive/set_a/extrahls__201101160808.wav,extrahls
53,My Drive/set_a/extrahls__201102071835.wav,extrahls
54,My Drive/set_a/murmur__201108222231.wav,murmur
55,My Drive/set_a/extrahls__201103150114.wav,extrahls
56,My Drive/set_a/murmur__201108222227.wav,murmur
57,My Drive/set_a/murmur__201101051114.wav,murmur
58,My Drive/set_a/murmur__201108222232.wav,murmur
59,My Drive/set_a/extrahls__201101241423.wav,extrahls
60,My Drive/set_a/extrahls__201101160804.wav,extrahls
61,My Drive/set_a/murmur__201104241315.wav,murmur
62,My Drive/set_a/murmur__201108222224.wav,murmur
63,My Drive/set_a/extrahls__201102241217.wav,extrahls
64,My Drive/set_a/murmur__201108222223.wav,murmur
65,My Drive/set_a/murmur__201108222221.wav,murmur
66,My Drive/set_a/murmur__201102051443.wav,murmur
67,My Drive/set_a/extrahls__201101161027.wav,extrahls
68,My Drive/set_a/murmur__201106141148.wav,murmur
69,My Drive/set_a/murmur__201101051108.wav,murmur
70,My Drive/set_a/murmur__201103291548.wav,murmur
71,My Drive/set_a/murmur__201101180902.wav,murmur
72,My Drive/set_a/normal__201102081152.wav,normal
73,My Drive/set_a/murmur__201108222245.wav,murmur
74,My Drive/set_a/normal__201101070538.wav,normal
75,My Drive/set_a/murmur__201108222251.wav,murmur
76,My Drive/set_a/normal__201102081321.wav,normal
77,My Drive/set_a/normal__201103090635.wav,normal
78,My Drive/set_a/normal__201104122156.wav,normal
79,My Drive/set_a/murmur__201108222238.wav,murmur
80,My Drive/set_a/murmur__201108222233.wav,murmur
81,My Drive/set_a/normal__201103101140.wav,normal
82,My Drive/set_a/murmur__201108222252.wav,murmur
83,My Drive/set_a/murmur__201108222253.wav,murmur
84,My Drive/set_a/murmur__201108222248.wav,murmur
85,My Drive/set_a/normal__201101151127.wav,normal
86,My Drive/set_a/murmur__201108222235.wav,murmur
87,My Drive/set_a/normal__201103140822.wav,normal
88,My Drive/set_a/murmur__201108222242.wav,murmur
89,My Drive/set_a/normal__201103151912.wav,normal
90,My Drive/set_a/normal__201103140135.wav,normal
91,My Drive/set_a/murmur__201108222237.wav,murmur
92,My Drive/set_a/murmur__201108222256.wav,murmur
93,My Drive/set_a/normal__201102270940.wav,normal
94,My Drive/set_a/murmur__201108222255.wav,murmur
95,My Drive/set_a/murmur__201108222246.wav,murmur
96,My Drive/set_a/murmur__201108222243.wav,murmur
97,My Drive/set_a/normal__201102201230.wav,normal
98,My Drive/set_a/normal__201102260502.wav,normal
99,My Drive/set_a/murmur__201108222258.wav,murmur
100,My Drive/set_a/normal__201103140132.wav,normal
101,My Drive/set_a/normal__201103170121.wav,normal
102,My Drive/set_a/murmur__201108222236.wav,murmur
103,My Drive/set_a/normal__201104141251.wav,normal
104,My Drive/set_a/normal__201108011114.wav,normal
105,My Drive/set_a/normal__201106221450.wav,normal
106,My Drive/set_a/normal__201106111136.wav,normal
107,My Drive/set_a/normal__201108011118.wav,normal
108,My Drive/set_a/normal__201106210943.wav,normal
109,My Drive/set_a/normal__201106221418.wav,normal
110,My Drive/set_a/normal__201105151450.wav,normal
111,My Drive/set_a/normal__201108011115.wav,normal
112,My Drive/set_a/normal__201106141148.wav,normal
113,My Drive/set_a/normal__201108011112.wav,normal
114,My Drive/set_a/normal__201105021804.wav,normal
115,My Drive/set_a/normal__201105021654.wav,normal
116,My Drive/set_a/normal__201105011626.wav,normal
117,My Drive/set_a/normal__201106151236.wav,normal
118,My Drive/set_b/extrastole__130_1306347376079_D.wav,extrastole
119,My Drive/set_b/extrastole__179_1307990076841_C.wav,extrastole
120,My Drive/set_b/extrastole__151_1306779785624_B.wav,extrastole
121,My Drive/set_b/extrastole__140_1306519735121_D.wav,extrastole
122,My Drive/set_b/extrastole__163_1307104470471_C.wav,extrastole
123,My Drive/set_b/extrastole__138_1306762146980_B.wav,extrastole
124,My Drive/set_b/extrastole__127_1306764300147_C2.wav,extrastole
125,My Drive/set_b/extrastole__144_1306522408528_B.wav,extrastole
126,My Drive/set_b/extrastole__153_1306848820671_C.wav,extrastole
127,My Drive/set_b/extrastole__128_1306344005749_A.wav,extrastole
128,My Drive/set_b/extrastole__184_1308073010307_A.wav,extrastole
129,My Drive/set_b/extrastole__209_1308162216750_D.wav,extrastole
130,My Drive/set_b/extrastole__191_1308077299430_A.wav,extrastole
131,My Drive/set_b/murmur__112_1306243000964_B.wav,murmur
132,My Drive/set_b/murmur__164_1307106095995_B.wav,murmur
133,My Drive/set_b/extrastole__261_1309353556003_C.wav,extrastole
134,My Drive/set_b/extrastole__229_1308594979317_B.wav,extrastole
135,My Drive/set_b/extrastole__207_1308159792607_B.wav,extrastole
136,My Drive/set_b/extrastole__198_1308141739338_B1.wav,extrastole
137,My Drive/set_b/extrastole__286_1311170606028_D.wav,extrastole
138,My Drive/set_b/murmur__116_1306258689913_D.wav,murmur
139,My Drive/set_b/extrastole__215_1308245664733_B.wav,extrastole
140,My Drive/set_b/extrastole__220_1308250132896_B.wav,extrastole
141,My Drive/set_b/murmur__122_1306325762831_C.wav,murmur
142,My Drive/set_b/murmur__112_1306243000964_D.wav,murmur
143,My Drive/set_b/murmur__112_1306243000964_A.wav,murmur
144,My Drive/set_b/murmur__162_1307101835989_A.wav,murmur
145,My Drive/set_b/murmur__116_1306258689913_C.wav,murmur
146,My Drive/set_b/murmur__116_1306258689913_A.wav,murmur
147,My Drive/set_b/extrastole__265_1309367698923_C.wav,extrastole
148,My Drive/set_b/murmur__160_1307100683334_B.wav,murmur
149,My Drive/set_b/extrastole__275_1310990852160_B.wav,extrastole
150,My Drive/set_b/extrastole__216_1308245839516_A.wav,extrastole
151,My Drive/set_b/murmur__156_1306936373241_B.wav,murmur
152,My Drive/set_b/extrastole__235_1308749032454_B.wav,extrastole
153,My Drive/set_b/extrastole__298_1311685888900_C.wav,extrastole
154,My Drive/set_b/extrastole__294_1311681084248_C.wav,extrastole
155,My Drive/set_b/murmur__161_1307101199321_A.wav,murmur
156,My Drive/set_b/murmur__160_1307100683334_A.wav,murmur
157,My Drive/set_b/extrastole__207_1308159792607_B1.wav,extrastole
158,My Drive/set_b/murmur__122_1306325762831_D.wav,murmur
159,My Drive/set_b/extrastole__194_1308139824187_B.wav,extrastole
160,My Drive/set_b/extrastole__198_1308141739338_B.wav,extrastole
161,My Drive/set_b/extrastole__213_1308245263936_D.wav,extrastole
162,My Drive/set_b/extrastole__210_1308162935880_C.wav,extrastole
163,My Drive/set_b/murmur__196_1308141034858_C.wav,murmur
164,My Drive/set_b/murmur__197_1308141235553_D.wav,murmur
165,My Drive/set_b/murmur__193_1308078104592_B.wav,murmur
166,My Drive/set_b/murmur__197_1308141235553_C.wav,murmur
167,My Drive/set_b/murmur__203_1308162026258_B.wav,murmur
168,My Drive/set_b/murmur__197_1308141235553_A.wav,murmur
169,My Drive/set_b/murmur__204_1308159229275_B.wav,murmur
170,My Drive/set_b/murmur__185_1308073325396_B.wav,murmur
171,My Drive/set_b/murmur__203_1308162026258_C1.wav,murmur
172,My Drive/set_b/murmur__200_1308144251434_D.wav,murmur
173,My Drive/set_b/murmur__185_1308073325396_C.wav,murmur
